,title,vehicle_class,manufacturer,features,acquisition,price,storage_location,delivery_method,modifications,resale_flag,resale_price,race_availability,top_speed_in_game,based_on,seats,weight_in_kg,drive_train,gears,release_date,release_dlc,top_speed_real,lap_time,bulletproof,weapon1_resistance,weapon2_resistance,weapon3_resistance,weapon4_resistance,weapon5_resistance,speed,acceleration,braking,handling,overall,vehicle_url
10,GTA 5: Pegassi Oppressor,Motorcycles,Pegassi,"Flying Car / Bike, Has Liveries, Has Variants, Has Trade Price, Homing Missiles, No Passive Mode, Rocket Boost, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$3,524,500",Garage (Personal Vehicle),Mechanic,MOC / Avenger Workshop,Can be sold only if purchased (High-End),"$2,114,700	
	($2,355,000 when fully upgraded)",Special Vehicle Races,91.96 mph (148.00 km/h),Yamaha MX 175,1,190	KG,RWD,5,"June 13, 2017",1.40 Gunrunning Pack,140.00 mph (225.31 km/h),0:51.953,No,1,1,2,1,1,"Speed
79.41","Acceleration
100.00","Braking
40.00","Handling
64.39","Overall
70.95",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-oppressor
11,GTA 5: Imponte Ruiner 2000,Muscle,Imponte,"Has Trade Price, Homing Missiles, Jump Ability, No Passive Mode, Parachute, Special Vehicle, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$5,745,600",Vehicle Warehouse (Special),Interaction Menu - Special Vehicles,Los Santos Customs,Cannot be sold,NA,Special Vehicle Races,94.45 mph (152.00 km/h),"Pontiac Trans Am, KITT from Knight Rider",2,"1,300	KG",RWD,5,"December 13, 2016",1.37 Import/Export,119.00 mph (191.51 km/h),1:11.807,No,1,1,2,1,1,"Speed
81.56","Acceleration
82.50","Braking
33.33","Handling
63.64","Overall
65.26",https://www.gtabase.com//grand-theft-auto-v/vehicles/imponte-ruiner-2000
12,GTA 5: HVY Insurgent,Off-Road,HVY,"Armored Vehicle, Has Variants, Has Trade Price, Passengers can hang on side, Unique Radar Icon",Warstock Cache & Carry,"$897,750",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$538,650	
	($645,400 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),"GURKHA, Conquest Knight XV",6,"8,600	KG",NA,6,"March 10, 2015",1.21 Heists DLC,98.25 mph (158.12 km/h),1:14.141,"No, slight protection from the back",27,9,23,5,2,"Speed
69.75","Acceleration
50.00","Braking
20.00","Handling
60.61","Overall
50.09",https://www.gtabase.com//grand-theft-auto-v/vehicles/hvy-insurgent
13,GTA 5: Karin Sultan RS,Super,Karin,"Custom Vehicle, Has Liveries, Has Variants, JDM Car",Benny's Original Motor Works,"$795,000",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$477,000	
	($717,810 when fully upgraded)",Can be used in Races,91.96 mph (148.00 km/h),"Lexus IS, Mitsubishi Lancer Evo VI, Subaru Impreza",2,"1,250	KG",NA,5,"January 28, 2016",1.32 January 2016,117.25 mph (188.70 km/h),1:04.364,No,1,1,2,1,1,"Speed
79.41","Acceleration
82.50","Braking
33.33","Handling
75.76","Overall
67.75",https://www.gtabase.com//grand-theft-auto-v/vehicles/karin-sultan-rs
14,GTA 5: Übermacht Sentinel Classic,Sports,Übermacht,"Has Liveries, Has Variants, Has Trade Price",Southern S.A. Super Autos,"$650,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$390,000	
	($583,765 when fully upgraded)",Can be used in Races,86.99 mph (140.00 km/h),BMW E30 M3,2,"1,100	KG",RWD,5,"December 19, 2017",1.42 The Doomsday Heist,117.25 mph (188.70 km/h),1:05.499,No,1,1,2,1,1,"Speed
75.12","Acceleration
66.25","Braking
26.67","Handling
68.18","Overall
59.05",https://www.gtabase.com//grand-theft-auto-v/vehicles/ubermacht-sentinel-classic
15,GTA 5: Übermacht Rhinehart,Sedans,Übermacht,Has Liveries,Southern S.A. Super Autos,"$1,598,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$958,800	
	($1,144,607 when fully upgraded)",Can be used in Races,97.68 mph (157.20 km/h),BMW M5 Touring,4,"1,660	KG",NA,8,"October 13, 2022",1.61 Criminal Enterprises,123.00 mph (197.95 km/h),1:04.748,No,1,1,2,1,1,"Speed
84.35","Acceleration
84.75","Braking
29.50","Handling
69.24","Overall
66.96",https://www.gtabase.com//grand-theft-auto-v/vehicles/rhinehart
16,GTA 5: Pfister 811,Super,Pfister,"Bulletproof - Rear, Hybrid Vehicle, Removable Roof",Legendary Motorsport,"$1,135,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$681,000	
	($832,000 when fully upgraded)",Can be used in Races,98.98 mph (159.30 km/h),"Porsche 918 Hypercar, Koenigsegg Regera",2,"1,600	KG",NA,6,"June 28, 2016",1.34 Further Adventures in Finance and Felony,132.50 mph (213.24 km/h),1:03.229,Bulletproof from the rear (rear has no windows),1,1,2,1,1,"Speed
85.47","Acceleration
89.00","Braking
37.33","Handling
81.45","Overall
73.32",https://www.gtabase.com//grand-theft-auto-v/vehicles/pfister-811
17,GTA 5: Western Company Duster,Planes,Western Company,Armored Vehicle,Elitás Travel,"$275,000",Pegasus Vehicle,Pegasus Concierge,Paint Job Only,Cannot be sold,NA,Can be used in Races,155.22 mph (249.80 km/h),Stearman Model 75,2,"2,000	KG",RWD,NA,"September 17, 2013",1.01 Game Launch,144.00 mph (231.74 km/h),0:54.522,"No, pilot dies on 1st rocket impact",3,1,2,1,1,"Speed
63.00","Acceleration
23.00","Braking
15.00","Handling
43.00","Overall
36.00",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-company-duster
18,GTA 5: HVY Dump,Industrial,HVY,"Bulletproof - Rear, Peds can stand on top",Warstock Cache & Carry,"$1,000,000",Pegasus Vehicle,Pegasus Concierge,Cannot be modified,Cannot be sold,NA,Transform Races Only,26.72 mph (43.00 km/h),CAT 789C,1,"35,000	KG",RWD,4,"September 17, 2013",1.01 Game Launch,32.00 mph (51.50 km/h),3:07.445,Bulletproof from the rear (rear has no windows),1,1,2,1,1,"Speed
18.78","Acceleration
40.00","Braking
10.00","Handling
43.94","Overall
28.18",https://www.gtabase.com//grand-theft-auto-v/vehicles/hvy-dump
19,GTA 5: BF Injection,Off-Road,BF,Mystery Prize,Can be stolen / found,"$16,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$9,600	
	($72,900 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),"VW ""Baja Bugs""",2,"1,800	KG",RWD,5,"September 17, 2013",1.01 Game Launch,106.50 mph (171.39 km/h),1:13.642,No,1,1,2,1,1,"Speed
72.43","Acceleration
57.50","Braking
20.67","Handling
56.06","Overall
51.67",https://www.gtabase.com//grand-theft-auto-v/vehicles/bf-injection
20,GTA 5: Lampadati Tropos Rallye,Sports,Lampadati,"Bulletproof - Rear, Has Liveries, Has Variants",Southern S.A. Super Autos,"$816,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$489,600	
	($650,075 when fully upgraded)",Can be used in Races,94.45 mph (152.00 km/h),"Lancia Stratos, Chevrolet Corvette C3,",2,800	KG,RWD,6,"July 12, 2016",1.35 Cunning Stunts,119.50 mph (192.32 km/h),1:06.866,Bulletproof from the rear (rear has no windows),1,1,2,1,1,"Speed
81.56","Acceleration
56.25","Braking
23.33","Handling
62.12","Overall
55.82",https://www.gtabase.com//grand-theft-auto-v/vehicles/lampadati-tropos-rallye
21,GTA 5: Buckingham Alpha-Z1,Planes,Buckingham,"Armored Vehicle, Bulletproof - Rear, Countermeasures, Has Liveries, Has Trade Price, Unique Radar Icon",Elitás Travel,"$2,121,350",Hangar (Personal Aircraft),Interaction Menu - Aircraft,Hangar Aircraft Workshop,Can be sold only if purchased (High-End),"$1,272,810	
	($1,399,315 when fully upgraded)",Can be used in Races,114.58 mph (184.40 km/h),Reberry 3M1C1R,1,450	KG,NA,NA,"August 29, 2017",1.41 Smuggler's Run,201.50 mph (324.28 km/h),0:33.567,Bulletproof from the rear (rear has no windows),3,1,2,1,1,"Speed
90.50","Acceleration
97.00","Braking
100.00","Handling
75.00","Overall
90.63",https://www.gtabase.com//grand-theft-auto-v/vehicles/buckingham-alpha-z1
22,GTA 5: Annis Hellion,Off-Road,Annis,"Has Liveries, JDM Car",Southern S.A. Super Autos,"$835,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$501,000	
	($695,350 when fully upgraded)",Can be used in Races,82.95 mph (133.50 km/h),"Nissan Patrol Safari Y6,  Jeep Cherokee (XJ)",2,"1,900	KG",NA,5,"October 3, 2019",1.48 Diamond Casino & Resort,103.50 mph (166.57 km/h),1:10.705,No,1,1,2,1,1,"Speed
71.63","Acceleration
62.50","Braking
10.00","Handling
60.61","Overall
51.18",https://www.gtabase.com//grand-theft-auto-v/vehicles/hellion
23,GTA 5: Obey Tailgater S,Sedans,Obey,"Has Liveries, Has Trade Price, Tuners Vehicle",Legendary Motorsport,"$1,495,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$897,000	
	($1,234,675 when fully upgraded)",Can be used in Races,91.87 mph (147.85 km/h),Audi RS3 Sedan,4,"1,340	KG",RWD,6,"July 20, 2021",1.57 Los Santos Tuners,115.75 mph (186.28 km/h),1:05.799,No,1,1,2,1,1,"Speed
79.33","Acceleration
82.00","Braking
33.00","Handling
76.00","Overall
67.58",https://www.gtabase.com//grand-theft-auto-v/vehicles/tailgater-s
24,GTA 5: Nagasaki Chimera,Motorcycles,Nagasaki,Has Liveries,Southern S.A. Super Autos,"$210,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$126,000	
	($287,755 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Generic Custom Tricycle,1,401	KG,RWD,4,"October 4, 2016",1.36 Bikers,103.00 mph (165.76 km/h),1:08.935,No,1,1,2,1,1,"Speed
72.43","Acceleration
60.00","Braking
33.33","Handling
63.64","Overall
57.35",https://www.gtabase.com//grand-theft-auto-v/vehicles/nagasaki-chimera
25,GTA 5: Nagasaki Shotaro,Motorcycles,Nagasaki,,Legendary Motorsport,"$2,225,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,335,000	
	($1,464,050 when fully upgraded)",Can be used in Races,99.11 mph (159.50 km/h),"Lotus C-01, Light Cycle from Tron: Legacy",1,230	KG,RWD,6,"November 8, 2016",1.36 Bikers,123.75 mph (199.16 km/h),0:57.490,No,1,1,2,1,1,"Speed
85.58","Acceleration
100.00","Braking
46.67","Handling
81.82","Overall
78.52",https://www.gtabase.com//grand-theft-auto-v/vehicles/nagasaki-shotaro
26,GTA 5: BF Dune Buggy,Off-Road,BF,Has Variants,Southern S.A. Super Autos,"$20,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$12,000	
	($75,300 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Sandrail,2,"1,800	KG",RWD,5,"September 17, 2013",1.01 Game Launch,100.75 mph (162.14 km/h),1:09.503,No,1,1,2,1,1,"Speed
72.43","Acceleration
62.50","Braking
21.00","Handling
66.67","Overall
55.65",https://www.gtabase.com//grand-theft-auto-v/vehicles/bf-dune-buggy
27,GTA 5: Übermacht Oracle XS,Coupes,Übermacht,Mystery Prize,Can be stolen / found,"$82,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$49,200	
	($153,213 when fully upgraded)",Can be used in Races,93.21 mph (150.00 km/h),BMW 7-Series E65,4,"1,850	KG",RWD,5,"September 17, 2013",1.01 Game Launch,114.00 mph (183.46 km/h),1:13.197,No,1,1,2,1,1,"Speed
80.48","Acceleration
65.00","Braking
30.00","Handling
68.18","Overall
60.92",https://www.gtabase.com//grand-theft-auto-v/vehicles/ubermacht-oracle-xs
28,GTA 5: Übermacht Cypher,Sports,Übermacht,"Has Liveries, Has Trade Price, Tuners Vehicle",Legendary Motorsport,"$1,550,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$930,000	
	($1,246,719 when fully upgraded)",Can be used in Races,91.87 mph (147.85 km/h),BMW M2 (F87) with some design cues from the BMW M6 (F13) and BMW M8 (F92),2,"1,625	KG",RWD,6,"September 2, 2021",1.57 Los Santos Tuners,113.50 mph (182.66 km/h),1:04.965,No,1,1,2,1,1,"Speed
79.33","Acceleration
81.50","Braking
23.33","Handling
78.48","Overall
65.66",https://www.gtabase.com//grand-theft-auto-v/vehicles/cypher
29,GTA 5: Annis RE-7B,Super,Annis,"Bulletproof - Rear, Has Liveries, Has Variants, JDM Car",Legendary Motorsport,"$2,475,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,485,000	
	($1,642,650 when fully upgraded)",Can be used in Races,100.04 mph (161.00 km/h),"Nissan R390 GT1, Mazda 787B, Aquila CR-1, Memo Rojas BMW, 2014 Audi R18 e-tron Quattro",2,880	KG,RWD,6,"July 12, 2016",1.35 Cunning Stunts,123.50 mph (198.75 km/h),0:59.727,Bulletproof from the rear (rear has no windows),1,1,2,1,1,"Speed
86.38","Acceleration
92.75","Braking
36.67","Handling
91.16","Overall
76.74",https://www.gtabase.com//grand-theft-auto-v/vehicles/annis-re-7b
30,GTA 5: Brute Armored Boxville,Vans,Brute,"Armored Vehicle, Bulletproof - Front, Bulletproof - Side, Bulletproof - Rear, Has Trade Price, No Passive Mode, Peds can stand on top, Special Vehicle, Unique Radar Icon, Weaponized Vehicle",Warstock Cache & Carry,"$2,926,000",Vehicle Warehouse (Special),Interaction Menu - Special Vehicles,Cannot be modified,Cannot be sold,NA,Target Assault Races,74.56 mph (120.00 km/h),Sweet Tooth (Twisted Metal),5,"7,500	KG",RWD,5,"December 13, 2016",1.37 Import/Export,87.00 mph (140.01 km/h),1:21.816,Bullet resistant windows from all sides (rear has no windows),1,1,2,1,1,"Speed
64.39","Acceleration
80.00","Braking
11.67","Handling
65.91","Overall
55.49",https://www.gtabase.com//grand-theft-auto-v/vehicles/brute-boxville-armored
31,GTA 5: Bravado Sprunk Buffalo,Sports,Bravado,Stock Car,Southern S.A. Super Autos,"$535,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$321,000	
	($441,188 when fully upgraded)",Can be used in Races,91.34 mph (147.00 km/h),Dodge Charger,4,"1,550	KG",RWD,5,"November 18, 2014",1.18 PS4 & Xbox One Release,116.00 mph (186.68 km/h),1:07.234,No,1,1,2,1,1,"Speed
78.87","Acceleration
77.50","Braking
33.33","Handling
74.24","Overall
65.99",https://www.gtabase.com//grand-theft-auto-v/vehicles/bravado-buffalo-sprunk
32,GTA 5: Vapid Dominator,Muscle,Vapid,"Has Variants, Has Trade Price, Mystery Prize",Can be stolen / found,"$35,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold if stolen or purchased,"$21,000	
	($131,663 when fully upgraded)",Can be used in Races,90.10 mph (145.00 km/h),Ford Mustang,2,"1,600	KG",RWD,5,"September 17, 2013",1.01 Game Launch,120.25 mph (193.52 km/h),1:09.035,Rear protection available at LSC,1,1,2,1,1,"Speed
77.80","Acceleration
72.50","Braking
26.67","Handling
68.18","Overall
61.29",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-dominator
33,GTA 5: Overflod Entity XXR,Super,Overflod,,Legendary Motorsport,"$2,305,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,383,000	
	($1,541,650 when fully upgraded)",Can be used in Races,105.63 mph (170.00 km/h),"Koenigsegg One:1, Koenigsegg Agera R",2,"1,400	KG",RWD,6,"March 20, 2018",1.43 Southern SA Super Sport Series,128.00 mph (206.00 km/h),1:03.831,No,1,1,2,1,1,"Speed
91.21","Acceleration
88.75","Braking
33.33","Handling
100.00","Overall
78.32",https://www.gtabase.com//grand-theft-auto-v/vehicles/overflod-entity-xxr
34,GTA 5: Overflod Zeno,Super,Overflod,Has Liveries,Legendary Motorsport,"$2,820,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,692,000	
	($1,897,600 when fully upgraded)",Can be used in Races,101.16 mph (162.80 km/h),SSC Tuatara,2,"1,250	KG",RWD,7,"December 23, 2021",1.58 The Contract,127.50 mph (205.19 km/h),1:01.428,No,1,1,2,1,1,"Speed
87.35","Acceleration
97.00","Braking
40.00","Handling
83.33","Overall
76.92",https://www.gtabase.com//grand-theft-auto-v/vehicles/zeno
35,GTA 5: Western Rat Bike,Motorcycles,Western,,Southern S.A. Super Autos,"$48,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$28,800	
	($203,000 when fully upgraded)",Can be used in Races,80.78 mph (130.00 km/h),Harley Davidson KKF 14,2,180	KG,RWD,5,"October 4, 2016",1.36 Bikers,123.50 mph (198.75 km/h),1:17.632,No,1,1,2,1,1,"Speed
69.75","Acceleration
53.75","Braking
40.00","Handling
50.00","Overall
53.38",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-rat-bike
36,GTA 5: Dinka Vindicator,Motorcycles,Dinka,KERS Boost,Legendary Motorsport,"$630,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$378,000	
	($438,870 when fully upgraded)",Can be used in Races,91.96 mph (148.00 km/h),"Honda NM4 Vultus, Honda Range Adventure",2,280	KG,RWD,6,"July 8, 2015",1.28 Ill-Gotten Gains Part 2,121.25 mph (195.13 km/h),1:05.466,No,1,1,2,1,1,"Speed
81.56","Acceleration
66.25","Braking
50.00","Handling
60.00","Overall
64.45",https://www.gtabase.com//grand-theft-auto-v/vehicles/dinka-vindicator
37,GTA 5: Dundreary Landstalker XL,SUVs,Dundreary,Has Liveries,Southern S.A. Super Autos,"$1,220,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$732,000	
	($913,315 when fully upgraded)",Can be used in Races,83.89 mph (135.00 km/h),Fourth generation Lincoln Navigator,4,"2,500	KG",NA,5,"August 11, 2020",1.51 LS Summer Special,100.75 mph (162.14 km/h),1:16.577,No,1,1,2,1,1,"Speed
72.43","Acceleration
47.50","Braking
26.67","Handling
65.15","Overall
52.94",https://www.gtabase.com//grand-theft-auto-v/vehicles/landstalker-xl
38,GTA 5: Declasse Burger Shot Stallion,Muscle,Declasse,"Mystery Prize, Stock Car",Southern S.A. Super Autos,"$277,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$166,200	
	($232,300 when fully upgraded)",Can be used in Races,89.48 mph (144.00 km/h),"68 - '69 & '70 - '71 Oldsmobile Cutlass, '70 Plymouth Hemi Barracuda",2,"1,650	KG",RWD,5,"November 18, 2014",1.18 PS4 & Xbox One Release,113.25 mph (182.26 km/h),1:10.904,No,1,1,2,1,1,"Speed
77.26","Acceleration
77.50","Braking
23.33","Handling
68.18","Overall
61.57",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-stallion-burger-shot
39,GTA 5: Declasse Draugur,Off-Road,Declasse,"Has Liveries, Has Trade Price",Southern S.A. Super Autos,"$1,870,000",Garage (Personal Vehicle),Mechanic,Los Santos Customs,Can be sold only if purchased (High-End),"$1,122,000	
	($1,302,278 when fully upgraded)",Can be used in Races,91.47 mph (147.20 km/h),Chevrolet Off-Road Concept,4,"2,450	KG",NA,6,"August 11, 2022",1.61 Criminal Enterprises,112.00 mph (180.25 km/h),1:03.262,No,1,1,2,1,1,"Speed
78.98","Acceleration
85.63","Braking
16.13","Handling
75.30","Overall
64.01",https://www.gtabase.com//grand-theft-auto-v/vehicles/draugur
40,GTA 5: Bravado Youga Classic 4x4,Vans,Bravado,"Custom Vehicle, Has Liveries",Benny's Original Motor Works,"$1,288,000",Garage (Personal Vehicle),Mechanic,Benny's Original Motor Works,Can be sold only if purchased (High-End),"$772,800	
	($1,086,465 when fully upgraded)",Can be used in Races,74.56 mph (120.00 km/h),Ford Ecoline (2nd gen),4,"2,700	KG",RWD,5,"August 11, 2020",1.51 LS Summer Special,95.50 mph (153.69 km/h),1:21.482,No,1,1,2,1,1,"Speed
64.39","Acceleration
42.50","Braking
10.00","Handling
59.09","Overall
43.99",https://www.gtabase.com//grand-theft-auto-v/vehicles/youga-classic-4x4
