,upgrade_cost,vehicle_url
46,"
Total Cost to Fully Upgrade in GTA Online
$335,950
",https://www.gtabase.com//grand-theft-auto-v/vehicles/karin-kuruma
47,"
Total Cost to Fully Upgrade in GTA Online
$223,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/coil-rocket-voltic
48,"
Total Cost to Fully Upgrade in GTA Online
$304,850
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dinka-jester-racecar
49,"
Total Cost to Fully Upgrade in GTA Online
$139,380
",https://www.gtabase.com//grand-theft-auto-v/vehicles/albany-primo
50,"
Total Cost to Fully Upgrade in GTA Online
$109,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/shitzu-vader
51,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/mtl-wastelander
52,"
Total Cost to Fully Upgrade in GTA Online
$355,900
",https://www.gtabase.com//grand-theft-auto-v/vehicles/everon
53,"
Total Cost to Fully Upgrade in GTA Online
$444,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/lampadati-viseris
54,"
Total Cost to Fully Upgrade in GTA Online
$357,850
",https://www.gtabase.com//grand-theft-auto-v/vehicles/michelli-gt
55,"
Total Cost to Fully Upgrade in GTA Online
$313,339
",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-nightblade
56,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/jobuilt-hauler
57,"
Total Cost to Fully Upgrade in GTA Online
$488,450
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-caracara
58,"
Total Cost to Fully Upgrade in GTA Online
$764,150
",https://www.gtabase.com//grand-theft-auto-v/vehicles/nagasaki-ultralight
59,"
Total Cost to Fully Upgrade in GTA Online
$1,385,445
",https://www.gtabase.com//grand-theft-auto-v/vehicles/deity
60,"
Total Cost to Fully Upgrade in GTA Online
$550,585
",https://www.gtabase.com//grand-theft-auto-v/vehicles/willard-faction-custom-donk
61,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/brute-tipper-2
62,"
Total Cost to Fully Upgrade in GTA Online
$307,950
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-tempesta
63,"
Total Cost to Fully Upgrade in GTA Online
$355,539
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-faggio-mod
64,"
Total Cost to Fully Upgrade in GTA Online
$109,800
",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-sovereign
65,"
Total Cost to Fully Upgrade in GTA Online
$287,300
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dewbauchee-seven-70
66,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-taxi
67,"
Total Cost to Fully Upgrade in GTA Online
$273,389
",https://www.gtabase.com//grand-theft-auto-v/vehicles/journey-ii
68,"
Total Cost to Fully Upgrade in GTA Online
$354,279
",https://www.gtabase.com//grand-theft-auto-v/vehicles/imorgon
69,"
Total Cost to Fully Upgrade in GTA Online
$1,614,050
",https://www.gtabase.com//grand-theft-auto-v/vehicles/deveste-eight
70,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/brute-bus
71,"
Total Cost to Fully Upgrade in GTA Online
$136,380
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-premier
72,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/hvy-dock-handler
73,"
Total Cost to Fully Upgrade in GTA Online
$3,326,390
",https://www.gtabase.com//grand-theft-auto-v/vehicles/imperator-arena
74,"
Total Cost to Fully Upgrade in GTA Online
$430,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/astron
75,"
Total Cost to Fully Upgrade in GTA Online
$122,800
",https://www.gtabase.com//grand-theft-auto-v/vehicles/nagasaki-hot-rod-blazer
76,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/brute-taco-van
77,"
Total Cost to Fully Upgrade in GTA Online
$580,825
",https://www.gtabase.com//grand-theft-auto-v/vehicles/menacer
78,"
Total Cost to Fully Upgrade in GTA Online
$321,350
",https://www.gtabase.com//grand-theft-auto-v/vehicles/manchez-scout
79,"
Total Cost to Fully Upgrade in GTA Online
$132,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/gallivanter-baller-le-armored
80,"
Total Cost to Fully Upgrade in GTA Online
$240,450
",https://www.gtabase.com//grand-theft-auto-v/vehicles/hijak-khamelion
81,"
Total Cost to Fully Upgrade in GTA Online
$373,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/coquette-d10
82,"
Total Cost to Fully Upgrade in GTA Online
$225,175
",https://www.gtabase.com//grand-theft-auto-v/vehicles/imponte-dukes
83,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/jobuilt-phantom-wedge
84,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/longfin
85,"
Total Cost to Fully Upgrade in GTA Online
$1,103,379
",https://www.gtabase.com//grand-theft-auto-v/vehicles/greenwood
86,"
Total Cost to Fully Upgrade in GTA Online
$0
",https://www.gtabase.com//grand-theft-auto-v/vehicles/buckingham-swift
87,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/cheval-marshall
88,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/mtl-flatbed
89,"
Total Cost to Fully Upgrade in GTA Online
$131,530
",https://www.gtabase.com//grand-theft-auto-v/vehicles/canis-kalahari
90,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-sheriff-suv
91,"
Total Cost to Fully Upgrade in GTA Online
$463,100
",https://www.gtabase.com//grand-theft-auto-v/vehicles/progen-pr4-f1
92,"
Total Cost to Fully Upgrade in GTA Online
$124,700
",https://www.gtabase.com//grand-theft-auto-v/vehicles/tornado-mariachi
93,"
Total Cost to Fully Upgrade in GTA Online
$220,450
",https://www.gtabase.com//grand-theft-auto-v/vehicles/i-wagen
94,"
Total Cost to Fully Upgrade in GTA Online
$282,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/rampant-rocket-tricycle
95,"
Total Cost to Fully Upgrade in GTA Online
$395,600
",https://www.gtabase.com//grand-theft-auto-v/vehicles/gauntlet-classic
96,"
Total Cost to Fully Upgrade in GTA Online
$184,350
",https://www.gtabase.com//grand-theft-auto-v/vehicles/bravado-youga
97,"
Total Cost to Fully Upgrade in GTA Online
$141,100
",https://www.gtabase.com//grand-theft-auto-v/vehicles/canis-bodhi
98,"
Total Cost to Fully Upgrade in GTA Online
$495,850
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-tampa-weaponized
99,"
Total Cost to Fully Upgrade in GTA Online
$392,920
",https://www.gtabase.com//grand-theft-auto-v/vehicles/itali-gto
100,"
Total Cost to Fully Upgrade in GTA Online
$670,290
",https://www.gtabase.com//grand-theft-auto-v/vehicles/previon
101,"
Total Cost to Fully Upgrade in GTA Online
$421,400
",https://www.gtabase.com//grand-theft-auto-v/vehicles/squaddie
102,"
Total Cost to Fully Upgrade in GTA Online
$396,650
",https://www.gtabase.com//grand-theft-auto-v/vehicles/schlagen-gt
103,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/bravado-fib-buffalo
104,"
Total Cost to Fully Upgrade in GTA Online
$365,000
",https://www.gtabase.com//grand-theft-auto-v/vehicles/locust
105,"
Total Cost to Fully Upgrade in GTA Online
$367,260
",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-zombie-chopper
106,"
Total Cost to Fully Upgrade in GTA Online
$132,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dundreary-regina
107,"
Total Cost to Fully Upgrade in GTA Online
$237,398
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-fcr-1000-custom
108,"
Total Cost to Fully Upgrade in GTA Online
$202,750
",https://www.gtabase.com//grand-theft-auto-v/vehicles/coil-voltic
109,"
Total Cost to Fully Upgrade in GTA Online
$134,850
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-tornado
110,"
Total Cost to Fully Upgrade in GTA Online
$290,300
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-blade
111,"
Total Cost to Fully Upgrade in GTA Online
$0
",https://www.gtabase.com//grand-theft-auto-v/vehicles/buckingham-luxor
112,"
Total Cost to Fully Upgrade in GTA Online
$127,800
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-stanier
113,"
Total Cost to Fully Upgrade in GTA Online
$285,450
",https://www.gtabase.com//grand-theft-auto-v/vehicles/outlaw
114,"
Total Cost to Fully Upgrade in GTA Online
$474,850
",https://www.gtabase.com//grand-theft-auto-v/vehicles/annihilator-stealth
115,"
Total Cost to Fully Upgrade in GTA Online
$109,800
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-faggio
116,"
Total Cost to Fully Upgrade in GTA Online
$647,275
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-minivan-custom
117,"
Total Cost to Fully Upgrade in GTA Online
$2,524,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/impaler-arena
118,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/scorcher
119,"
Total Cost to Fully Upgrade in GTA Online
$377,475
",https://www.gtabase.com//grand-theft-auto-v/vehicles/v-str
120,"
Total Cost to Fully Upgrade in GTA Online
$120,000
",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-company-cuban-800
121,"
Total Cost to Fully Upgrade in GTA Online
$0
",https://www.gtabase.com//grand-theft-auto-v/vehicles/jobuilt-p-996-lazer
122,"
Total Cost to Fully Upgrade in GTA Online
$213,600
",https://www.gtabase.com//grand-theft-auto-v/vehicles/coil-raiden
123,"
Total Cost to Fully Upgrade in GTA Online
$135,980
",https://www.gtabase.com//grand-theft-auto-v/vehicles/lampadati-felon
124,"
Total Cost to Fully Upgrade in GTA Online
$357,140
",https://www.gtabase.com//grand-theft-auto-v/vehicles/impaler
125,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/weaponized-dinghy
126,"
Total Cost to Fully Upgrade in GTA Online
$343,160
",https://www.gtabase.com//grand-theft-auto-v/vehicles/lcc-avarus
127,"
Total Cost to Fully Upgrade in GTA Online
$817,025
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dundreary-virgo-classic-custom
128,"
Total Cost to Fully Upgrade in GTA Online
$316,390
",https://www.gtabase.com//grand-theft-auto-v/vehicles/nagasaki-street-blazer
129,"
Total Cost to Fully Upgrade in GTA Online
$317,350
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vulcar-warrener
130,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/jobuilt-phantom
131,"
Total Cost to Fully Upgrade in GTA Online
$0
",https://www.gtabase.com//grand-theft-auto-v/vehicles/buckingham-nimbus
132,"
Total Cost to Fully Upgrade in GTA Online
$1,814,230
",https://www.gtabase.com//grand-theft-auto-v/vehicles/ubermacht-sentinel-xs
133,"
Total Cost to Fully Upgrade in GTA Online
$281,650
",https://www.gtabase.com//grand-theft-auto-v/vehicles/scramjet
134,"
Total Cost to Fully Upgrade in GTA Online
$376,089
",https://www.gtabase.com//grand-theft-auto-v/vehicles/gauntlet-hellfire
135,"
Total Cost to Fully Upgrade in GTA Online
$630,417
",https://www.gtabase.com//grand-theft-auto-v/vehicles/sentinel-classic-widebody
136,"
Total Cost to Fully Upgrade in GTA Online
$364,150
",https://www.gtabase.com//grand-theft-auto-v/vehicles/drift-yosemite
137,"
Total Cost to Fully Upgrade in GTA Online
$406,075
",https://www.gtabase.com//grand-theft-auto-v/vehicles/komoda
138,"
Total Cost to Fully Upgrade in GTA Online
$1,351,490
",https://www.gtabase.com//grand-theft-auto-v/vehicles/champion
139,"
Total Cost to Fully Upgrade in GTA Online
$511,900
",https://www.gtabase.com//grand-theft-auto-v/vehicles/imponte-deluxo
140,"
Total Cost to Fully Upgrade in GTA Online
$124,700
",https://www.gtabase.com//grand-theft-auto-v/vehicles/chariot-romero-hearse
141,"
Total Cost to Fully Upgrade in GTA Online
$284,400
",https://www.gtabase.com//grand-theft-auto-v/vehicles/obey-9f
142,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/hvy-skylift
143,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/hvy-ripley
144,"
Total Cost to Fully Upgrade in GTA Online
$498,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/jb-700w
145,"
Total Cost to Fully Upgrade in GTA Online
$374,789
",https://www.gtabase.com//grand-theft-auto-v/vehicles/paragon-r
146,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/seashark-lifeguard
147,"
Total Cost to Fully Upgrade in GTA Online
$124,700
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-speedo
148,"
Total Cost to Fully Upgrade in GTA Online
$186,300
",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-dubsta-2
149,"
Total Cost to Fully Upgrade in GTA Online
$330,939
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-esskey
150,"
Total Cost to Fully Upgrade in GTA Online
$220,100
",https://www.gtabase.com//grand-theft-auto-v/vehicles/mammoth-patriot
151,"
Total Cost to Fully Upgrade in GTA Online
$364,789
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vamos
152,"
Total Cost to Fully Upgrade in GTA Online
$309,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-ellie
153,"
Total Cost to Fully Upgrade in GTA Online
$109,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-bati-801rr
154,"
Total Cost to Fully Upgrade in GTA Online
$701,245
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dominator-asp
155,"
Total Cost to Fully Upgrade in GTA Online
$132,550
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-guardian
156,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/stanley-tractor
157,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/rhino-tank
158,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/brute-police-riot
159,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-police-cruiser-interceptor
160,"
Total Cost to Fully Upgrade in GTA Online
$305,700
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-infernus-classic
161,"
Total Cost to Fully Upgrade in GTA Online
$285,000
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dewbauchee-specter
162,"
Total Cost to Fully Upgrade in GTA Online
$144,140
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-sabre-turbo
163,"
Total Cost to Fully Upgrade in GTA Online
$343,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/ocelot-ardent
164,"
Total Cost to Fully Upgrade in GTA Online
$309,800
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dewbauchee-massacro
165,"
Total Cost to Fully Upgrade in GTA Online
$381,400
",https://www.gtabase.com//grand-theft-auto-v/vehicles/reever
166,"
Total Cost to Fully Upgrade in GTA Online
$243,430
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-tezeract
167,"
Total Cost to Fully Upgrade in GTA Online
$298,800
",https://www.gtabase.com//grand-theft-auto-v/vehicles/imponte-nightshade
168,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/canis-crusader
169,"
Total Cost to Fully Upgrade in GTA Online
$292,450
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-hotring-sabre
170,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/dundreary-stretch
171,"
Total Cost to Fully Upgrade in GTA Online
$222,875
",https://www.gtabase.com//grand-theft-auto-v/vehicles/ubermacht-zion-cabrio
172,"
Total Cost to Fully Upgrade in GTA Online
$390,450
",https://www.gtabase.com//grand-theft-auto-v/vehicles/ubermacht-revolter
173,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/shitzu-suntrap
174,"
Total Cost to Fully Upgrade in GTA Online
$109,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/lcc-innovation
175,"
Total Cost to Fully Upgrade in GTA Online
$119,100
",https://www.gtabase.com//grand-theft-auto-v/vehicles/imponte-duke-o-death
176,"
Total Cost to Fully Upgrade in GTA Online
$176,750
",https://www.gtabase.com//grand-theft-auto-v/vehicles/gallivanter-baller-ii
177,"
Total Cost to Fully Upgrade in GTA Online
$183,800
",https://www.gtabase.com//grand-theft-auto-v/vehicles/gallivanter-baller
178,"
Total Cost to Fully Upgrade in GTA Online
$348,300
",https://www.gtabase.com//grand-theft-auto-v/vehicles/ocelot-penetrator
179,"
Total Cost to Fully Upgrade in GTA Online
$113,980
",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-daemon
180,"
Total Cost to Fully Upgrade in GTA Online
$211,025
",https://www.gtabase.com//grand-theft-auto-v/vehicles/ubermacht-oracle
181,"
Total Cost to Fully Upgrade in GTA Online
$305,389
",https://www.gtabase.com//grand-theft-auto-v/vehicles/bravado-youga-classic
182,"
Total Cost to Fully Upgrade in GTA Online
$2,689,870
",https://www.gtabase.com//grand-theft-auto-v/vehicles/zr380-arena
183,"
Total Cost to Fully Upgrade in GTA Online
$140,130
",https://www.gtabase.com//grand-theft-auto-v/vehicles/karin-sultan
184,"
Total Cost to Fully Upgrade in GTA Online
$0
",https://www.gtabase.com//grand-theft-auto-v/vehicles/buckingham-vestra
185,"
Total Cost to Fully Upgrade in GTA Online
$135,330
",https://www.gtabase.com//grand-theft-auto-v/vehicles/bravado-buffalo
186,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/dilettante-patrol
187,"
Total Cost to Fully Upgrade in GTA Online
$566,974
",https://www.gtabase.com//grand-theft-auto-v/vehicles/postlude
188,"
Total Cost to Fully Upgrade in GTA Online
$254,100
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-faggio-sport
189,"
Total Cost to Fully Upgrade in GTA Online
$782,595
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-moonbeam-custom
190,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/bravado-police-cruiser-buffalo
191,"
Total Cost to Fully Upgrade in GTA Online
$129,300
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-fcr-1000
192,"
Total Cost to Fully Upgrade in GTA Online
$222,725
",https://www.gtabase.com//grand-theft-auto-v/vehicles/enus-huntley-s
193,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/jobuilt-trashmaster
194,"
Total Cost to Fully Upgrade in GTA Online
$196,050
",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-dubsta
195,"
Total Cost to Fully Upgrade in GTA Online
$289,350
",https://www.gtabase.com//grand-theft-auto-v/vehicles/benefactor-surano
196,"
Total Cost to Fully Upgrade in GTA Online
$263,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/truffade-adder
197,"
Total Cost to Fully Upgrade in GTA Online
$263,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dewbauchee-jb-700
198,"
Total Cost to Fully Upgrade in GTA Online
$448,010
",https://www.gtabase.com//grand-theft-auto-v/vehicles/nagasaki-havok
199,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/hvy-docktug
200,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/lampadati-toro
201,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/boxville-lsdwp
202,"
Total Cost to Fully Upgrade in GTA Online
$262,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-monroe
203,"
Total Cost to Fully Upgrade in GTA Online
$2,626,930
",https://www.gtabase.com//grand-theft-auto-v/vehicles/bruiser-arena
204,"
Total Cost to Fully Upgrade in GTA Online
$365,400
",https://www.gtabase.com//grand-theft-auto-v/vehicles/progen-gp1
205,"
Total Cost to Fully Upgrade in GTA Online
$394,840
",https://www.gtabase.com//grand-theft-auto-v/vehicles/lm87
206,"
Total Cost to Fully Upgrade in GTA Online
$687,544
",https://www.gtabase.com//grand-theft-auto-v/vehicles/declasse-voodoo-custom
207,"
Total Cost to Fully Upgrade in GTA Online
$176,750
",https://www.gtabase.com//grand-theft-auto-v/vehicles/bravado-bison
208,"
Total Cost to Fully Upgrade in GTA Online
$664,850
",https://www.gtabase.com//grand-theft-auto-v/vehicles/mammoth-thruster-jetpack
209,"
Total Cost to Fully Upgrade in GTA Online
$278,350
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dewbauchee-rapid-gt
210,"
Total Cost to Fully Upgrade in GTA Online
$703,920
",https://www.gtabase.com//grand-theft-auto-v/vehicles/albany-primo-custom
211,"
Total Cost to Fully Upgrade in GTA Online
$278,350
",https://www.gtabase.com//grand-theft-auto-v/vehicles/pegassi-vacca
212,"
Total Cost to Fully Upgrade in GTA Online
$377,550
",https://www.gtabase.com//grand-theft-auto-v/vehicles/dinka-jester-classic
213,"
Total Cost to Fully Upgrade in GTA Online
$568,010
",https://www.gtabase.com//grand-theft-auto-v/vehicles/western-seabreeze
214,"
Total Cost to Fully Upgrade in GTA Online
$256,100
",https://www.gtabase.com//grand-theft-auto-v/vehicles/Panthere
215,"
Total Cost to Fully Upgrade in GTA Online
$282,300
",https://www.gtabase.com//grand-theft-auto-v/vehicles/lampadati-pigalle
216,"
Total Cost to Fully Upgrade in GTA Online
$190,440
",https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-sandking-swb
217,"
Total Cost to Fully Upgrade in GTA Online
$329,730
",https://www.gtabase.com//grand-theft-auto-v/vehicles/annis-s80rr
218,"
Total Cost to Fully Upgrade in GTA Online
$1,359,855
",https://www.gtabase.com//grand-theft-auto-v/vehicles/jubilee
219,"
Total Cost to Fully Upgrade in GTA Online
$382,680
",https://www.gtabase.com//grand-theft-auto-v/vehicles/drafter-8f
220,"
Total Cost to Fully Upgrade in GTA Online
$386,300
",https://www.gtabase.com//grand-theft-auto-v/vehicles/sm722
221,"
Total Cost to Fully Upgrade in GTA Online
$186,150
",https://www.gtabase.com//grand-theft-auto-v/vehicles/karin-rebel-rusty
222,"
Total Cost to Fully Upgrade in GTA Online
$263,500
",https://www.gtabase.com//grand-theft-auto-v/vehicles/enus-super-diamond
223,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/speedophile-seashark
224,"
Total Cost to Fully Upgrade in GTA Online
$132,200
",https://www.gtabase.com//grand-theft-auto-v/vehicles/bravado-gauntlet-redwood
225,NA,https://www.gtabase.com//grand-theft-auto-v/vehicles/vapid-tow-truck-large
